Point;LatLng
3942;92.9071275,55.9842600
3943;84.9702562,56.4936159
3944;36.638737,55.102828
3945;46.6650235,61.2561293
3946;37.8832451,55.6757390
3947;37.8832451,55.6757390
3948;37.8832451,55.6757390
3949;37.6173000,55.7558260
3950;36.4883230,55.2027043
3951;41.3531191,56.8521594
3952;60.6009910,56.8256450
3954;45.9350610,51.5952270
3955;39.8388620,57.6733840
3958;37.6933090,55.8705050
3959;37.8170310,55.9206790
3960;59.9926510,57.9249000
3961;58.4659040,51.2278470
3962;47.7720071,52.0136992
3964;59.9372336,57.8731234
3965;30.4766092,59.9116769
3966;56.2636554,57.9747582
3967;60.6619315,56.7853420
3969;43.4917930,56.2372760
3970;40.550826,64.552323
3971;43.9885953,56.2410325
3972;58.9804330,53.3805072
3973;58.9804330,53.3805072
3974;58.9804330,53.3805072
3975;58.9986291,53.4414691
3976;58.9788070,53.3620835
3978;38.4486829,55.4503472
3980;42.0159540,55.5843064
3981;59.0016233,53.4129429
3982;58.9788070,53.3620835
3983;60.6064070,56.8345450
3984;39.7015050,47.2357137
3985;37.8355545,57.2394797
3986;37.8380956,57.2388555
3987;46.0251885,51.5343339
3988;58.9865910,53.4463400
3989;39.8320443,47.2762701
3990;37.7390779,55.6688301
3991;49.6703550,58.6166740
3992;37.597007,55.706541
3993;107.653019,51.8361019
3994;45.0062314,53.2351379
3995;37.8499642,55.9923437
3996;59.0060574,53.3610912
3997;37.6373180,54.1563830
3998;37.6015779,54.1579190
3999;41.0134740,56.9705750
4002;42.1356795,57.4933973
4003;37.1279150,55.3349500
4004;39.9420364,47.3014699
4005;42.1356795,57.4933973
4006;39.821855,47.274493
4007;61.9154695,57.3315260
4008;35.5005286,56.0350857
4009;60.6057025,56.8389261
4010;40.9713839,57.7497386
4012;37.4422441,55.8248668
4013;40.5508260,64.5523230
4015;92.8932476,56.0152834
4016;40.4520979,56.1725588
4017;39.7548990,47.2489900
4018;91.4091299,53.7186847
4019;37.3890027,55.7233157
4020;39.7621940,47.2687010
4021;52.7375726,51.7695971
4022;39.8623640,57.6585500
4024;39.8844708,57.6260744
4025;39.6407250,47.2127750
4026;35.7756041,54.0354827
4027;50.2212463,53.2415041
4028;60.6164100,56.7433220
4029;40.601773,64.445186
4030;40.601773,64.445186
4031;34.9930676,55.5450818
4033;37.6378185,55.8981884
4034;59.6858853,55.1558787
4035;53.2324285,56.8618601
4039;38.4535900,55.7811640
4040;60.6057025,56.8389261
4041;39.8426150,59.2031300
4042;38.2407510,55.5829370
4043;41.3122180,56.3598760
4044;38.9587867,55.7218708
4045;38.8116968,58.0574860
4046;34.9990438,55.5505136
4047;39.8378630,57.6726120
4048;36.3481228,54.5519534
4049;37.3598916,56.8603977
4050;32.0694741,54.7554440
4051;32.0694741,54.7554440
4053;37.3883279,55.7228394
4054;39.1351257,51.7040851
4055;49.4198344,53.5086002
4056;30.452025,59.843927
4057;60.6233736,56.8164291
4058;37.6452690,55.8551460
4059;35.9080546,56.8753831
4060;41.0042050,57.7612130
4061;32.6857211,52.8463936
4062;34.2834756,63.7425390
4063;30.5990596,64.5820443
4064;30.1064659,59.5624627
4065;42.1159511,57.4426249
4066;30.4968150,59.7475720
4067;30.3508920,59.9000680
4068;48.0694421,46.3599111
4069;30.4968150,59.7475720
4070;59.9436938,56.9043053
4071;38.1393965,48.043204
4072;40.9334761,56.9992834
4073;60.5664048,56.8224438
4074;41.4887147,46.4713228
4075;30.4516110,59.8938820
4076;40.2445448,48.3102990
4077;39.7015050,47.2357137
4078;40.9585690,57.7668880
4079;41.4423062,52.7235980
4081;39.6487270,47.2453420
4082;39.8844708,57.6260744
4083;37.6151867,57.3640359
4084;53.1823731,56.7967681
4085;39.8844708,57.6260744
4086;40.9812030,57.0161020
4087;41.7323046,57.1130811
4088;30.3350986,59.9342802
4089;44.0257850,56.3086980
4090;30.1302980,59.5575990
4091;37.4714810,55.6684220
4092;37.8401303,57.2365343
4093;30.1302980,59.5575990
4094;30.3833160,59.8833640
4095;37.6173000,55.7558260
4096;45.1745115,54.2000477
4097;37.5947528,55.8761702
4098;31.9939589,54.7692093
4099;31.9841895,54.7707028
4100;39.6021650,47.2385150
4101;39.7456151,47.1072129
4102;37.4930448,55.9273722
4103;37.8364450,55.6492360
4104;41.1111727,57.2470839
4105;30.4369489,59.8400577
4106;30.3350986,59.9342802
4107;33.9109644,58.3916916
4108;42.0090072,45.0489386
4109;30.4084469,60.0350240
4110;20.5297590,54.7160590
4111;38.7135875,56.3790924
4112;30.3929890,59.9669550
4113;20.4522144,54.7104264
4114;30.3918350,59.9135800
4115;41.7340479,57.1072660
4116;61.4368431,55.1644419
4117;30.4347207,59.8436807
4118;33.9303678,58.3914934
4119;30.4346310,59.9880300
4120;39.8978052,59.2180665
4121;37.8608944,57.2265143
4122;44.8022870,41.7220863
4123;65.5250172,57.1612975
4124;42.0986928,57.4684482
4125;40.4076245,56.1542951
4126;40.6331171,46.5668217
